NREGION;CODIGO;NNROVIV;NHOGAR;PONDERA;C1_P01;C1_P02;C1_P03;C1_P04;C1_P05;C1_P06;C1_P07;C1_P08;C1_P09;C1_P10;C1_P11;C1_P12;C1_P13;DefMaterial_Paredes;DefMaterial_Pisos;DefGas;CantPob_0_17;CantPob_5_17;Act_5_17;ClimaEduHogar;Hog_AUH;Hog_AyudasProgSoc
1;1000;1;1;380;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1001;1;1;539;1;1;1;3;3;1;1;1;1;1;3;9;2;0;0;0;0;0; ; ; ; 
1;1002;1;1;594;1;1;1;3;3;1;1;1;1;1;3;1;5;0;0;0;0;0; ; ; ; 
1;1003;1;1;384;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1004;1;1;536;1;1;1;4;4;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1005;1;1;1446;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;1;0; ;2;2;2
1;1042;1;1;1790;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1043;1;1;737;2;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1044;1;1;1607;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1045;1;1;908;1;1;1;6;6;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1046;1;1;768;2;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1047;1;1;1093;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1048;1;1;984;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1049;1;1;985;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1050;1;1;1926;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1051;1;1;1026;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1052;1;1;756;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1053;1;1;332;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1054;1;1;422;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1055;1;1;469;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1056;1;1;1688;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1057;1;1;2212;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;1;0; ;3;2;1
1;1058;1;1;1239;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1059;1;1;364;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1061;1;1;377;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1100;1;1;942;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;1;1;0;2;2;1
1;1101;1;1;1286;9;9;1;4;4;1;1;1;1;1;1;1;1;99;0;0;2;1;0;3;2;2
1;1117;1;1;1139;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1120;1;1;940;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1123;1;1;957;9;9;9;99;99;9;9;9;9; ; ; ;1;99;99;99;0;0; ; ; ; 
1;1128;1;1;985;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1163;1;1;976;1;1;1;3;3;1;1;1;1;1;1;9;1;0;0;0;0;0; ; ; ; 
1;1164;1;1;537;1;1;1;4;4;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1165;1;1;948;1;1;1;4;4;1;1;1;1;1;1;1;2;0;0;0;1;0; ;3;2;2
1;1167;1;1;1154;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1170;1;1;511;1;1;1;3;3;1;2;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1171;1;1;745;1;1;1;2;2;1;2;3;1;1;2;1;5;0;0;1;0;0; ; ; ; 
1;1172;1;1;683;1;1;1;3;3;1;2;3;1;1;2;1;1;0;0;1;0;0; ; ; ; 
1;1173;1;1;1045;9;1;1;4;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1174;1;1;1205;1;1;1;3;3;1;1;3;1;1;1;1;1;0;0;1;0;0; ; ; ; 
1;1175;1;1;1086;1;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1176;1;1;104;9;9;9;9;9;9;9;9;9; ; ; ;9;99;99;99;0;0; ; ; ; 
1;1186;1;1;472;1;1;1;5;5;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1187;1;1;1030;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1188;1;1;567;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1189;1;1;1096;2;1;1;2;2;1;1;1;1;1;1;1;5;0;0;0;0;0; ; ; ; 
1;1191;1;1;1661;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1193;1;1;1449;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1194;1;1;627;1;1;2;3;3;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1195;1;1;594;1;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1196;1;1;603;1;1;2;2;2;2;2;1;1;2;2;1;1;0;0;0;0;0; ; ; ; 
1;1198;1;1;492;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1199;1;1;419;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1200;1;1;1585;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1201;1;1;1006;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1202;1;1;453;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1204;1;1;992;1;1;1;3;3;1;2;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1205;1;1;1267;1;1;2;3;3;1;1;3;1;1;1;1;1;0;0;1;0;0; ; ; ; 
1;1206;1;1;792;2;1;1;4;4;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1207;1;1;1862;2;1;1;4;4;1;1;5;1;1;1;1;1;0;0;99;0;0; ; ; ; 
1;1208;1;1;1839;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1209;1;1;838;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1210;1;1;1839;2;1;1;3;3;1;1;1;1;1;1;1;5;0;0;0;0;0; ; ; ; 
1;1211;1;1;1073;2;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1212;1;1;1464;2;1;1;1;1;1;1;5;1;1;1;1;3;0;0;99;0;0; ; ; ; 
1;1213;1;1;941;1;1;1;3;3;1;1;1;1;1;1;1;7;0;0;0;0;0; ; ; ; 
1;1214;1;1;733;1;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1215;1;1;690;1;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1216;1;1;1393;1;1;1;99;99;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1217;1;1;630;1;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1218;1;1;663;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1219;1;1;86;9;1;1;3;2;1;1;1;1;1;1;1;3;0;0;0;2;2;0;3;2;2
1;1220;1;1;690;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1221;1;1;972;2;1;1;2;2;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1222;1;1;732;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1223;1;1;972;2;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1224;1;1;1444;2;1;1;2;2;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1225;1;1;755;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1226;1;1;922;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1227;1;1;1379;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1229;1;1;882;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1231;1;1;32;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1237;1;1;18;2;1;1;4;4;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1240;1;1;633;2;1;1;2;2;1;1;1;1;1;1;1;5;0;0;0;0;0; ; ; ; 
1;1247;1;1;996;2;1;1;1;1;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1252;1;1;432;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1256;1;1;702;2;1;1;1;1;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1259;1;1;321;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1262;1;1;383;2;1;1;3;3;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1265;1;1;384;2;1;1;8;8;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1272;1;1;1448;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1273;1;1;557;2;1;1;3;3;1;1;1;1;1;1;1;3;0;0;0;0;0; ; ; ; 
1;1274;1;1;888;1;1;1;4;4;1;1;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1275;1;1;1338;1;1;1;5;5;1;1;1;1;1;1;1;2;0;0;0;2;2;0;3;2;2
1;1276;1;1;502;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1277;1;1;742;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1278;1;1;743;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1279;1;1;710;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1280;1;1;420;2;1;1;3;3;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1281;1;1;1617;2;1;1;2;2;1;1;1;1;1;1;1;2;0;0;0;0;0; ; ; ; 
1;1338;1;1;1163;1;1;1;2;2;1;1;1;1;1;2;1;1;0;0;0;0;0; ; ; ; 
1;1339;1;1;1134;1;4;2;1;1;1;1;3;1;1;2;1;1;1;0;1;0;0; ; ; ; 
1;1340;1;1;1106;1;1;1;2;2;3;5;1;1;1;1;1;1;0;0;0;0;0; ; ; ; 
1;1341;1;1;1250;1;1;2;2;2;1;1;3;1;1;1;1;1;0;0;1;0;0; ; ; ; 
1;1342;1;1;1075;1;1;1;3;3;1;2;3;1;1;3;1;1;0;0;1;0;0; ; ; ; 
